date,open,high,low,close,volume
2021-10-13,53.32,53.58,51.94,51.94,1563600
2021-10-14,52.02,52.54,51.85,51.85,1616100
2021-10-15,52.02,52.37,51.5,51.76,1329600
2021-10-18,51.68,52.63,51.07,51.59,1436700
2021-10-19,51.94,53.41,51.24,53.15,2026200
2021-10-20,53.15,53.49,51.68,52.37,1080800
2021-10-21,52.37,52.71,51.68,51.94,746000
2021-10-22,51.94,52.63,51.68,52.2,921200
2021-10-25,53.84,55.83,53.67,55.83,4464000
2021-10-26,56.61,57.56,55.4,55.66,2025500
2021-10-27,55.66,56.78,55.31,56.18,1389800
2021-10-28,56.18,57.22,55.4,56.78,2031200
2021-10-29,57.04,57.13,55.92,56.0,1712800
2021-11-01,56.0,56.96,55.4,55.48,1777400
2021-11-02,55.48,56.09,55.22,56.09,1515700
2021-11-03,56.09,56.61,54.97,54.97,1823100
2021-11-04,55.4,56.0,54.97,54.97,992700
2021-11-05,55.14,55.83,54.97,55.4,993300
2021-11-08,56.18,56.45,55.39,55.75,868700
2021-11-09,55.83,58.12,55.83,56.89,2081700
2021-11-10,56.8,57.15,56.01,56.62,1093400
2021-11-11,56.45,56.62,54.96,55.48,1274000
2021-11-12,55.31,55.66,54.6,55.13,1434700
2021-11-15,56.54,56.54,54.87,55.04,1172200
2021-11-16,55.31,58.12,55.13,56.71,2630200
2021-11-17,57.33,57.5,56.36,56.36,963200
2021-11-18,56.45,56.8,55.75,56.36,1075800
2021-11-19,56.1,56.36,52.5,53.64,3553500
2021-11-22,53.2,53.99,51.8,52.85,1678800
2021-11-23,52.5,54.78,52.5,54.78,1080800
2021-11-24,54.87,55.13,54.25,55.13,1037500
2021-11-25,55.22,56.54,55.22,55.39,1301100
2021-11-26,55.75,55.75,53.99,54.6,1086700
2021-11-29,53.81,55.13,53.55,54.43,938200
2021-11-30,54.78,55.13,53.11,53.55,1345100
2021-12-01,53.73,53.99,52.85,53.64,1262900
2021-12-02,53.64,53.99,53.2,53.2,611300
2021-12-03,53.64,53.64,50.74,50.74,1675000
2021-12-06,50.74,51.27,48.55,50.48,1623800
2021-12-07,50.74,51.36,50.48,51.27,665900
2021-12-08,51.27,51.44,50.57,50.65,581500
2021-12-09,50.65,51.0,50.3,50.74,741800
2021-12-10,50.92,52.06,50.83,51.62,639500
2021-12-13,51.97,52.41,51.44,51.97,655500
2021-12-14,51.8,51.8,50.92,51.36,562100
2021-12-15,51.36,51.44,50.48,51.09,630000
2021-12-16,51.8,51.8,50.83,50.92,413600
2021-12-17,50.92,51.36,50.48,50.57,739300
2021-12-20,50.74,51.0,49.16,49.69,1114200
2021-12-21,49.42,50.57,49.07,50.04,1416400
2021-12-22,50.04,50.57,49.25,49.6,884600
2021-12-23,49.6,49.78,48.2,48.2,1201300
2021-12-24,48.46,49.34,48.02,49.16,898700
2021-12-27,49.6,49.69,48.72,49.25,557000
2021-12-28,49.16,49.25,48.72,48.9,663000
2021-12-29,48.99,49.07,48.28,48.46,830900
2021-12-30,48.63,48.81,48.28,48.37,675800
2021-12-31,48.46,49.34,48.46,49.16,815800
