date,open,high,low,close,volume
2021-10-13,10.47,10.63,10.41,10.47,2856800
2021-10-14,10.43,10.63,10.35,10.57,2589000
2021-10-15,10.57,10.59,10.43,10.45,2792100
2021-10-18,10.47,10.53,10.41,10.47,3820900
2021-10-19,10.51,10.53,10.31,10.37,2329900
2021-10-20,10.35,10.47,10.2,10.2,2493600
2021-10-21,10.22,10.31,10.02,10.02,2785600
2021-10-22,10.18,10.22,10.0,10.0,2476900
2021-10-25,10.14,10.14,9.96,9.98,2215300
2021-10-26,10.0,10.06,9.9,10.06,2018200
2021-10-27,10.06,10.39,10.02,10.26,3190200
2021-10-28,10.35,10.43,10.29,10.41,4112200
2021-10-29,10.41,10.41,10.29,10.29,2942400
2021-11-01,10.37,10.39,10.29,10.31,3126200
2021-11-02,10.31,10.43,10.31,10.43,4944500
2021-11-03,10.45,11.14,10.43,11.08,12652600
2021-11-04,11.14,11.16,10.98,11.02,5169100
2021-11-05,11.02,11.04,10.79,10.88,3229100
2021-11-08,10.92,11.08,10.77,11.0,5282700
2021-11-09,11.08,11.36,11.08,11.28,7774000
2021-11-10,11.32,11.53,11.3,11.41,4761000
2021-11-11,11.41,11.45,11.08,11.28,5559400
2021-11-12,11.28,11.47,11.18,11.41,4222900
2021-11-15,11.57,12.0,11.49,11.75,8997600
2021-11-16,11.79,11.89,11.36,11.36,6752700
2021-11-17,11.41,11.41,11.16,11.32,4405400
2021-11-18,11.36,11.81,11.36,11.51,7022000
2021-11-19,11.67,12.3,11.65,12.3,20848700
2021-11-22,12.55,13.16,12.55,13.16,13191900
2021-11-23,13.16,13.16,12.79,12.95,5900600
2021-11-24,12.99,13.83,12.97,13.65,11827300
2021-11-25,13.6,13.65,13.24,13.24,8648900
2021-11-26,13.36,13.52,12.77,12.77,7905600
2021-11-29,12.63,13.22,12.38,12.83,11772200
2021-11-30,13.16,13.16,12.42,12.42,8085900
2021-12-01,12.46,13.03,12.44,13.03,6340200
2021-12-02,13.2,13.24,12.83,12.83,6081500
2021-12-03,12.99,13.14,12.63,12.63,9937000
2021-12-06,12.55,12.71,11.75,11.85,9007300
2021-12-07,11.98,12.4,11.83,12.22,4231300
2021-12-08,12.3,12.71,12.08,12.34,6574700
2021-12-09,12.14,12.59,12.14,12.53,3420900
2021-12-10,12.46,12.79,12.44,12.51,4162000
2021-12-13,12.51,12.65,12.22,12.24,6201300
2021-12-14,12.22,12.42,12.06,12.06,4900600
2021-12-15,12.02,12.57,11.91,12.24,4567700
2021-12-16,12.38,12.42,12.02,12.1,3467900
