date,open,high,low,close,volume
2021-10-13,29.17,29.38,28.92,29.07,15582700
2021-10-14,29.07,29.38,29.02,29.07,19279700
2021-10-15,29.33,29.53,29.17,29.33,18520000
2021-10-18,29.48,29.89,29.43,29.63,20737100
2021-10-19,29.48,29.69,29.22,29.28,23720900
2021-10-20,29.38,29.43,28.56,29.12,34660900
2021-10-21,29.28,29.79,28.97,29.28,39192300
2021-10-22,29.38,29.58,29.02,29.02,19849100
2021-10-25,28.92,29.02,28.2,28.2,41605900
2021-10-26,28.05,28.82,27.74,28.82,27910500
2021-10-27,28.82,29.63,28.82,29.63,28938100
2021-10-28,29.63,29.79,29.33,29.69,21923800
2021-10-29,29.69,29.74,29.22,29.22,23878000
2021-11-01,29.22,29.22,28.51,28.51,45218500
2021-11-02,28.41,28.87,28.25,28.41,25669500
2021-11-03,28.76,28.82,28.3,28.46,29867100
2021-11-04,28.46,29.12,28.46,28.82,14849100
2021-11-05,28.82,29.17,28.51,28.97,19377600
2021-11-08,29.12,29.17,28.76,29.07,21255400
2021-11-09,29.07,29.48,28.87,28.92,24717300
2021-11-10,28.92,28.97,28.25,28.3,43376600
2021-11-11,28.15,28.3,27.43,27.64,54292800
2021-11-12,27.59,28.05,27.54,27.95,20846900
2021-11-15,27.89,27.95,27.28,27.43,30647000
2021-11-16,27.28,27.43,26.61,26.61,39777000
2021-11-17,26.61,26.92,26.31,26.31,30002700
2021-11-18,26.31,26.31,25.39,25.57,58606300
2021-11-19,25.39,25.44,24.52,24.57,48471400
2021-11-22,24.67,25.18,24.57,24.9,22630400
2021-11-23,25.03,25.49,24.87,25.36,15649600
2021-11-24,25.34,25.44,24.82,24.9,27126800
2021-11-25,24.93,25.26,24.93,25.21,21763400
2021-11-26,25.23,25.57,25.08,25.1,26729700
2021-11-29,24.67,25.03,24.67,24.77,21801500
2021-11-30,25.05,25.57,24.82,25.05,22176200
2021-12-01,25.34,25.34,25.03,25.08,13823900
2021-12-02,25.18,25.21,24.87,24.87,12832300
2021-12-03,24.98,25.16,24.41,24.41,21682500
2021-12-06,24.31,24.54,23.29,23.42,34633900
2021-12-07,23.77,24.36,23.54,24.36,21935200
2021-12-08,24.52,24.52,24.08,24.16,11108800
2021-12-09,24.0,24.21,23.95,24.11,10320400
2021-12-10,24.08,24.16,23.75,23.8,19427400
2021-12-13,23.83,24.13,23.7,23.83,14309600
2021-12-14,23.83,25.13,23.65,24.41,35676800
2021-12-15,24.57,24.87,24.41,24.46,9045500
2021-12-16,24.62,24.62,24.21,24.31,11030000
2021-12-17,24.23,24.34,23.85,23.9,22015600
2021-12-20,23.9,24.23,23.8,24.0,9986400
2021-12-21,24.0,24.03,23.59,23.59,17094400
2021-12-22,23.7,23.8,23.08,23.08,24665900
2021-12-23,23.08,23.08,22.57,23.01,26674000
2021-12-24,23.19,23.88,23.16,23.57,19168600
2021-12-27,23.83,23.85,23.31,23.49,10675000
2021-12-28,23.49,23.9,23.34,23.44,12356700
2021-12-29,23.44,23.7,23.29,23.44,15118200
2021-12-30,23.7,23.7,23.39,23.39,10285000
2021-12-31,23.54,23.88,23.47,23.75,13781200
2022-01-04,23.95,24.16,23.85,23.93,20100700
2022-01-05,24.0,24.23,23.95,23.95,18760700
2022-01-06,23.8,23.9,23.59,23.59,17172700
2022-01-07,23.59,23.65,23.36,23.44,16335300
2022-01-10,23.47,23.88,23.29,23.36,17477500
2022-01-11,23.57,23.57,23.08,23.08,12758500
2022-01-12,23.13,23.67,23.11,23.65,14686700
2022-01-13,23.7,24.21,23.65,23.9,24990100
2022-01-14,23.8,23.98,23.65,23.67,7902000
