date,open,high,low,close,volume
2021-10-13,28.57,28.75,28.19,28.34,7021900
2021-10-14,28.34,28.75,28.28,28.55,10104000
2021-10-15,28.66,29.64,28.66,29.31,15019100
2021-10-18,29.52,30.22,29.22,29.37,10768800
2021-10-19,29.28,29.4,28.87,29.05,9681800
2021-10-20,29.16,29.19,28.46,28.99,10150400
2021-10-21,29.16,29.4,28.81,29.1,8021300
2021-10-22,29.25,29.25,28.75,28.87,7003700
2021-10-25,28.81,28.87,27.69,27.69,15542700
2021-10-26,27.4,28.16,27.1,28.07,9182200
2021-10-27,28.25,28.4,27.96,28.31,7093900
2021-10-28,28.63,28.63,28.13,28.28,6865500
2021-10-29,28.46,28.52,27.6,27.93,11471500
2021-11-01,27.99,28.04,27.01,27.1,17399100
2021-11-02,27.1,27.66,26.9,26.98,11151200
2021-11-03,27.1,27.22,26.22,26.48,15160400
2021-11-04,26.51,27.22,26.22,26.98,7431300
2021-11-05,27.16,27.69,26.69,27.37,8028000
2021-11-08,27.4,27.57,26.95,27.13,7477600
2021-11-09,27.22,27.4,26.9,26.9,6462000
2021-11-10,26.75,26.9,26.16,26.22,13011400
2021-11-11,25.98,26.16,25.33,25.63,14606600
2021-11-12,25.63,26.54,25.63,26.34,6382100
2021-11-15,26.34,26.37,25.66,25.75,7331400
2021-11-16,25.57,26.16,25.36,25.39,5093000
2021-11-17,25.39,25.75,25.04,25.04,6738900
2021-11-18,24.92,24.98,23.51,23.51,18403600
2021-11-19,23.45,23.51,21.89,22.09,14773400
2021-11-22,22.09,23.04,22.09,22.62,7343000
2021-11-23,22.74,23.18,22.68,23.04,5119100
2021-11-24,23.07,23.07,22.27,22.36,9515600
2021-11-25,22.39,23.18,22.39,22.98,8023100
2021-11-26,23.15,23.86,23.15,23.42,8073900
2021-11-29,22.89,23.27,22.89,22.92,4596500
2021-11-30,23.1,23.77,22.86,23.3,9174900
2021-12-01,23.3,23.63,23.1,23.15,4534700
2021-12-02,23.39,23.45,23.12,23.21,3337500
2021-12-03,23.3,23.3,22.09,22.09,8293300
2021-12-06,21.86,22.27,20.56,20.56,12404100
2021-12-07,21.15,21.48,20.56,21.27,6703500
2021-12-08,21.68,21.68,20.89,20.92,3890200
2021-12-09,20.89,21.24,20.74,20.89,3899300
2021-12-10,21.0,21.06,20.33,20.33,8479000
2021-12-13,20.39,20.86,20.36,20.71,4663500
2021-12-14,20.74,22.15,20.71,22.15,9876700
2021-12-15,22.36,22.68,22.09,22.09,5868800
2021-12-16,22.09,22.3,21.68,21.89,4500800
2021-12-17,21.86,21.86,21.27,21.27,6991200
2021-12-20,21.21,21.56,20.97,21.03,5393200
2021-12-21,20.92,21.0,20.39,20.53,8731800
2021-12-22,20.56,20.86,20.09,20.24,6241500
2021-12-23,20.33,20.68,19.47,20.68,9347300
2021-12-24,21.21,21.48,20.77,21.03,5683800
2021-12-27,21.21,21.21,20.68,20.77,2744300
2021-12-28,20.68,21.36,20.56,21.15,7278200
2021-12-29,21.15,22.01,21.0,21.74,7394000
2021-12-30,21.92,22.01,21.56,21.74,3204600
2021-12-31,21.74,22.3,21.62,22.03,8071200
2022-01-04,22.24,22.62,22.03,22.09,7242900
2022-01-05,22.18,22.45,21.77,21.8,5907300
2022-01-06,21.68,21.68,20.97,21.09,9557200
2022-01-07,20.97,21.36,20.74,20.83,8428400
2022-01-10,21.03,21.45,20.8,20.83,5237900
2022-01-11,20.97,21.18,20.39,20.39,4851900
2022-01-12,20.39,20.92,20.21,20.74,6488500
2022-01-13,20.94,21.68,20.74,21.27,6755100
2022-01-14,20.92,21.5,20.8,20.89,2731800
2022-01-17,20.83,20.94,19.44,19.44,8298500
2022-01-18,19.62,20.03,18.38,19.53,7603400
2022-01-19,19.74,19.8,19.3,19.44,3081300
2022-01-20,19.32,19.8,18.79,19.68,4376800
2022-01-21,19.65,19.65,19.03,19.03,5113000
2022-01-24,19.0,19.0,17.7,17.7,7702700
2022-01-25,17.68,18.21,17.38,18.15,4617400
2022-01-26,18.44,18.68,18.21,18.21,3038600
2022-01-27,18.38,18.56,17.68,17.85,4399000
2022-01-28,18.03,18.23,17.85,17.88,2918600
2022-02-07,18.26,18.91,17.91,18.79,3714600
2022-02-08,18.62,20.09,18.59,20.09,6904900
2022-02-09,20.47,21.48,20.33,21.48,8543900
2022-02-10,21.77,22.15,21.3,21.45,11705400
