date,open,high,low,close,volume
2021-10-13,21.04,21.2,20.81,20.85,636900
2021-10-14,20.85,20.92,20.69,20.73,757400
2021-10-15,20.57,20.73,20.49,20.53,1000600
2021-10-18,20.53,20.73,20.18,20.18,999000
2021-10-19,20.18,20.33,20.06,20.29,441800
2021-10-20,20.65,20.88,20.25,20.41,554500
2021-10-21,20.49,20.65,20.33,20.45,436200
2021-10-22,20.41,20.53,20.37,20.45,683200
2021-10-25,20.41,20.41,20.02,20.02,771800
2021-10-26,20.02,20.49,19.78,20.33,427800
2021-10-27,20.33,20.37,20.06,20.21,750200
2021-10-28,19.7,19.86,19.66,19.7,2624300
2021-10-29,19.62,19.62,18.95,19.54,2089300
2021-11-01,19.54,19.54,19.31,19.47,718200
2021-11-02,19.39,19.43,19.23,19.39,789600
2021-11-03,19.39,19.39,18.05,18.09,2071700
2021-11-04,18.09,19.35,17.77,19.03,1205300
2021-11-05,19.03,19.7,19.03,19.43,902700
2021-11-08,19.7,19.7,19.43,19.62,1128800
2021-11-09,19.62,19.66,19.31,19.54,700000
2021-11-10,19.39,19.54,19.31,19.43,820400
2021-11-11,19.51,19.78,19.31,19.62,841400
2021-11-12,19.62,19.82,19.62,19.74,736800
2021-11-15,19.62,19.62,19.31,19.39,1337600
2021-11-16,19.39,20.25,19.27,19.78,1134800
2021-11-17,20.49,20.57,20.1,20.33,2083200
2021-11-18,20.33,20.41,19.78,19.86,1250100
2021-11-19,18.48,18.91,18.48,18.48,17810300
2021-11-22,18.05,18.6,18.05,18.13,4234500
2021-11-23,18.13,18.48,18.13,18.4,2245800
2021-11-24,18.4,18.91,18.32,18.64,3797000
2021-11-25,18.64,18.76,18.52,18.76,3171700
2021-11-26,18.84,19.23,18.8,18.8,3782400
2021-11-29,18.13,18.44,17.89,18.24,3961300
2021-11-30,18.21,18.52,18.13,18.13,2663100
2021-12-01,18.13,18.36,17.97,18.17,2435200
2021-12-02,18.17,18.21,18.05,18.05,1797000
2021-12-03,18.09,18.17,17.97,17.97,2173400
2021-12-06,17.89,17.97,17.34,17.38,2759600
2021-12-07,17.38,17.69,17.34,17.5,1328900
2021-12-08,17.73,18.52,17.69,18.09,2014400
2021-12-09,18.13,18.21,17.93,18.05,1069700
2021-12-10,18.13,19.27,18.13,18.6,4189400
2021-12-13,18.99,19.7,18.99,19.62,8010400
2021-12-14,19.78,19.94,19.07,19.66,4842100
2021-12-15,19.66,19.66,18.99,19.15,2899900
2021-12-16,19.15,19.35,18.4,18.4,5399700
2021-12-17,18.17,18.8,18.17,18.48,2654800
2021-12-20,18.48,18.68,18.13,18.68,2121700
2021-12-21,18.52,18.52,18.21,18.4,1995400
2021-12-22,18.52,18.6,18.21,18.21,2190000
2021-12-23,18.28,18.52,18.13,18.21,2447700
2021-12-24,18.24,18.48,18.24,18.36,1326800
2021-12-27,18.4,18.72,18.28,18.4,1268000
2021-12-28,18.44,18.56,18.21,18.21,1845500
2021-12-29,18.28,18.36,18.21,18.28,1051900
2021-12-30,18.32,18.4,18.24,18.28,1628200
2021-12-31,18.28,18.32,18.13,18.24,2083300
2022-01-04,18.28,18.52,18.24,18.36,1832000
2022-01-05,18.44,18.44,18.21,18.21,2256200
2022-01-06,18.21,18.21,17.97,18.01,2466400
2022-01-07,18.01,18.01,17.81,17.85,2127400
2022-01-10,17.93,18.91,17.93,18.28,3188800
2022-01-11,18.24,18.36,18.05,18.17,1685900
2022-01-12,18.17,18.21,17.81,18.09,1593700
2022-01-13,18.09,18.09,17.81,17.85,1427600
2022-01-14,17.73,17.89,17.5,17.89,1433700
2022-01-17,17.89,18.52,17.89,18.05,2074000
2022-01-18,18.05,18.24,17.89,18.09,1544300
2022-01-19,17.93,18.13,17.81,17.89,1050700
2022-01-20,17.81,17.97,17.69,17.97,1127900
2022-01-21,17.97,17.97,17.85,17.89,1163900
2022-01-24,17.97,18.52,17.93,17.97,2579000
2022-01-25,18.13,18.44,18.05,18.4,2913000
2022-01-26,18.76,19.07,18.6,18.99,5819400
2022-01-27,19.03,19.07,18.76,18.91,3012200
2022-01-28,18.91,19.39,18.84,19.15,3385600
2022-02-07,20.25,20.49,19.94,20.49,11637900
2022-02-08,20.57,21.52,20.29,20.49,9015000
2022-02-09,20.49,20.88,20.41,20.69,5478100
