date,open,high,low,close,volume
2021-10-13,45.53,46.07,44.9,45.57,469200
2021-10-14,45.17,46.02,45.17,45.57,583400
2021-10-15,45.53,45.75,45.3,45.35,514800
2021-10-18,45.17,45.57,44.22,44.67,797900
2021-10-19,44.67,44.85,44.22,44.22,540900
2021-10-20,44.44,45.08,43.86,44.67,809900
2021-10-21,45.57,45.57,44.17,44.22,650000
2021-10-22,44.63,44.67,44.04,44.67,285500
2021-10-25,44.44,45.35,44.31,44.72,407700
2021-10-26,44.49,45.08,44.22,44.35,536500
2021-10-27,44.35,46.02,44.35,45.98,850400
2021-10-28,46.02,46.48,45.57,45.84,628200
2021-10-29,45.66,47.33,45.53,46.93,1676200
2021-11-01,46.93,47.2,45.57,45.62,679600
2021-11-02,45.98,47.38,45.48,47.38,509200
2021-11-03,46.88,47.29,45.93,47.15,938700
2021-11-04,47.29,47.38,46.02,46.93,672700
2021-11-05,46.93,48.73,45.93,48.73,926500
2021-11-08,48.55,49.14,48.19,48.73,422300
2021-11-09,48.73,48.87,47.6,47.83,719600
2021-11-10,47.65,48.1,45.12,46.48,690000
2021-11-11,47.74,49.72,46.25,47.15,1052700
2021-11-12,47.15,49.63,46.7,49.59,826300
2021-11-15,50.09,50.54,49.18,49.99,896000
2021-11-16,49.86,49.86,47.83,48.73,815600
2021-11-17,48.73,48.82,47.83,48.01,461400
2021-11-18,47.87,49.18,47.83,47.92,376300
2021-11-19,48.01,48.28,45.57,46.16,894500
2021-11-22,46.16,47.33,46.16,46.93,418500
2021-11-23,46.25,47.69,46.25,47.69,491000
2021-11-24,47.38,47.83,46.93,47.69,298300
2021-11-25,47.38,48.28,46.97,46.97,510400
2021-11-26,46.93,47.38,45.8,45.8,811800
2021-11-29,44.67,45.8,43.99,44.26,1512900
2021-11-30,45.12,45.26,43.68,44.17,1059400
2021-12-01,44.22,44.9,43.9,43.9,362100
2021-12-02,43.77,44.63,43.77,43.95,431600
2021-12-03,44.26,44.26,42.41,42.41,718000
2021-12-06,42.46,43.18,41.15,41.15,607400
2021-12-07,41.51,42.32,41.38,42.32,787600
2021-12-08,42.96,44.44,42.78,43.59,392000
2021-12-09,43.59,45.4,43.41,44.72,545500
2021-12-10,44.04,44.54,43.63,44.18,393100
2021-12-13,44.27,44.81,44.04,44.72,387000
2021-12-14,44.27,44.68,43.45,43.68,303600
2021-12-15,43.68,44.0,43.5,43.59,230900
2021-12-16,43.59,44.0,42.41,42.54,431600
2021-12-17,43.09,43.45,42.91,43.36,267800
2021-12-20,42.82,43.5,42.77,42.77,503700
2021-12-21,42.45,43.04,42.41,43.04,272000
2021-12-22,43.27,43.5,42.68,42.91,198000
2021-12-23,42.91,43.36,41.73,42.54,354000
2021-12-24,42.86,43.04,42.54,43.0,250400
2021-12-27,43.18,43.59,42.0,43.59,227200
2021-12-28,43.9,43.9,42.91,43.41,309500
2021-12-29,43.59,43.59,42.32,42.32,300800
2021-12-30,42.68,42.68,42.0,42.0,607500
2021-12-31,42.5,44.27,42.04,43.68,607800
2022-01-04,43.68,43.81,43.31,43.81,358700
2022-01-05,43.59,43.86,43.18,43.18,570300
2022-01-06,43.22,43.54,42.91,42.95,289000
2022-01-07,42.95,42.95,42.5,42.63,298900
2022-01-10,42.59,42.59,42.23,42.32,533400
2022-01-11,42.32,42.91,41.95,42.72,386400
2022-01-12,42.72,42.72,42.04,42.09,466400
2022-01-13,43.59,43.59,42.27,42.72,331900
2022-01-14,41.63,42.82,41.63,42.63,288800
2022-01-17,42.27,42.68,42.04,42.45,508200
2022-01-18,41.86,42.45,41.82,42.36,348000
2022-01-19,42.32,42.5,41.77,42.5,335700
2022-01-20,42.23,42.91,42.23,42.86,378900
2022-01-21,42.91,43.36,42.86,43.36,715300
2022-01-24,43.36,44.63,42.72,44.0,870600
2022-01-25,43.95,44.27,43.41,44.04,647300
2022-01-26,44.31,45.86,43.95,45.86,1869600
2022-01-27,45.4,46.08,45.36,45.86,921300
2022-01-28,45.4,47.22,45.4,47.22,1007200
2022-02-07,47.04,49.04,47.04,48.72,1212900
2022-02-08,48.17,48.63,47.22,47.67,781500
2022-02-09,47.63,47.63,46.77,46.9,1122700
2022-02-10,46.99,47.08,46.13,46.9,825900
2022-02-11,46.77,48.35,46.31,47.58,534900
2022-02-14,47.67,47.72,47.26,47.49,533200
2022-02-15,47.17,48.08,47.08,47.9,619800
2022-02-16,47.67,48.4,47.45,48.26,758900
2022-02-17,48.35,48.99,48.26,48.99,924600
2022-02-18,48.58,49.44,48.58,48.58,570600
2022-02-21,48.58,48.58,47.63,48.35,693400
2022-02-22,48.31,51.31,47.72,49.94,2820800
2022-02-23,49.94,51.53,49.49,49.76,1149100
2022-02-24,49.9,51.21,49.49,49.49,1782700
2022-02-25,49.49,49.94,48.31,48.94,1606000
2022-02-28,48.58,49.35,46.77,46.77,2289000
2022-03-01,46.36,48.13,46.36,47.67,1145900
2022-03-02,47.67,47.67,45.77,46.95,1214800
2022-03-03,47.22,47.67,46.31,47.22,833500
2022-03-04,46.63,48.54,46.63,48.22,1595700
2022-03-07,48.95,51.14,48.95,49.31,3113000
2022-03-08,49.77,50.22,48.17,48.4,1354300
2022-03-09,48.86,51.14,48.67,50.45,2295500
2022-03-10,50.0,50.0,48.95,49.45,1106500
2022-03-11,48.86,49.31,47.3,47.71,1323700
2022-03-14,47.39,47.39,44.97,44.97,1989500
2022-03-15,45.43,47.03,45.02,46.98,818900
2022-03-16,46.75,47.3,45.89,46.94,594800
2022-03-17,46.94,47.17,46.57,47.03,690300
2022-03-18,46.75,48.17,46.75,47.26,678700
2022-03-21,47.3,48.35,47.26,48.22,710800
2022-03-22,48.67,50.09,48.58,48.86,931800
2022-03-23,49.31,49.95,47.53,47.99,506500
2022-03-24,48.86,49.72,48.08,48.86,582700
2022-03-25,48.86,50.0,48.67,49.4,651600
2022-03-28,50.22,50.54,49.4,49.4,1023700
2022-03-29,50.22,51.09,49.77,50.45,1365500
2022-03-30,51.09,51.55,49.31,49.45,953500
2022-03-31,49.54,50.68,49.22,50.45,632700
2022-04-01,50.22,53.97,50.18,53.51,3758700
2022-04-04,53.56,54.79,53.19,53.24,1081300
2022-04-05,53.19,54.7,53.19,53.79,540800
2022-04-06,53.19,55.06,52.74,53.92,1823500
2022-04-07,53.92,54.97,52.42,52.55,1490000
2022-04-08,52.55,53.42,52.01,52.28,793300
2022-04-12,52.51,52.96,51.14,51.32,1232200
2022-04-13,51.32,53.19,51.18,52.96,1008100
2022-04-14,53.6,55.48,53.19,53.42,1254000
2022-04-15,53.38,54.97,52.6,53.47,825000
2022-04-18,54.84,56.62,53.97,56.39,2466600
2022-04-19,56.43,56.53,54.29,54.29,1112300
2022-04-20,54.24,55.29,53.65,54.29,1009400
2022-04-21,55.2,55.61,54.33,54.33,1422500
2022-04-22,55.2,55.2,51.05,52.51,2859300
2022-04-25,52.51,52.51,48.86,48.86,1826300
2022-04-26,47.26,49.4,46.12,49.04,1000600
2022-04-27,48.86,50.68,46.94,48.86,813400
2022-04-28,48.86,50.0,48.49,48.49,466900
2022-04-29,48.63,50.0,48.63,49.31,460000
2022-05-04,49.31,50.22,48.63,49.45,474200
2022-05-05,50.45,50.68,48.63,50.22,509900
2022-05-06,49.31,50.13,48.4,48.63,663200
2022-05-09,48.17,48.63,45.25,45.25,1122600
2022-05-10,43.47,47.21,42.69,47.03,633700
2022-05-11,47.03,48.86,46.12,48.86,700200
2022-05-12,47.9,48.95,46.16,46.16,777800
2022-05-13,47.35,47.94,44.15,44.52,853600
2022-05-16,46.12,46.34,44.47,44.75,317700
2022-05-17,44.75,47.58,44.2,47.07,434400
2022-05-18,47.03,47.8,45.84,46.62,578800
2022-05-19,46.07,47.94,45.93,46.62,407700
2022-05-20,47.94,48.4,47.07,48.4,483600
2022-05-23,48.9,48.9,46.8,47.71,412900
2022-05-24,47.9,49.27,47.49,49.27,599200
2022-05-25,49.31,52.69,47.94,52.69,1708800
2022-05-26,52.69,52.96,52.14,52.19,482400
2022-05-27,52.51,55.84,52.14,55.84,2557300
2022-05-30,55.93,55.98,54.47,55.02,1216100
2022-05-31,54.52,54.56,52.05,52.46,1533900
2022-06-01,52.74,53.83,52.14,53.56,1156800
2022-06-02,55.7,57.03,54.33,56.25,2708900
2022-06-03,56.39,56.8,55.34,56.25,1354700
2022-06-06,56.62,58.53,56.16,57.07,1650600
2022-06-07,58.72,59.36,55.43,58.44,1657300
2022-06-08,59.81,59.86,57.9,58.44,1566800
2022-06-09,59.36,59.77,57.21,58.67,759700
2022-06-10,58.4,58.4,55.11,55.11,1100700
2022-06-13,53.19,53.42,51.28,51.28,2311000
2022-06-14,51.14,52.96,50.91,52.96,978400
2022-06-15,52.51,53.88,50.77,53.88,1330200
2022-06-16,54.79,55.8,53.69,55.61,909800
2022-06-17,52.55,55.7,52.55,55.7,1331000
2022-06-20,55.57,55.57,53.65,53.88,581600
2022-06-21,54.29,56.11,53.42,54.7,1050100
2022-06-22,53.92,55.02,52.05,52.96,685900
2022-06-23,52.78,55.31,52.64,55.31,545300
2022-06-24,55.35,56.91,54.76,56.0,703900
2022-06-27,56.13,59.44,56.13,59.44,2022300
2022-06-28,58.98,59.58,58.75,59.44,558500
2022-06-29,58.34,59.58,57.37,59.44,929400
2022-06-30,59.62,59.67,58.24,58.98,700800
2022-07-01,58.75,58.98,56.22,58.84,950400
2022-07-04,59.58,59.58,56.45,56.82,804400
2022-07-05,56.82,56.82,52.87,54.43,1575700
2022-07-06,52.0,53.24,51.41,51.41,1023000
2022-07-07,51.41,53.24,50.49,53.24,615800
2022-07-08,53.75,53.75,52.74,53.24,459200
2022-07-11,53.79,53.79,51.41,53.01,527500
2022-07-12,51.86,53.65,51.5,53.61,369700
2022-07-13,53.61,53.61,52.32,52.78,489400
2022-07-14,52.55,53.01,51.77,53.01,363000
2022-07-15,53.33,53.33,51.41,52.09,682900
2022-07-18,52.78,52.78,51.86,52.09,478500
2022-07-19,52.09,52.09,50.72,50.72,511500
2022-07-20,51.77,52.46,51.04,52.14,896900
2022-07-21,52.19,52.64,51.41,52.32,646600
2022-07-22,52.32,53.15,52.32,52.55,342000
2022-07-25,52.51,52.51,51.77,51.96,205600
2022-07-26,51.86,51.91,51.41,51.41,317300
2022-07-27,51.18,51.5,50.9,51.5,285000
2022-07-28,51.82,52.6,50.95,51.86,709000
2022-07-29,52.23,52.32,51.68,52.32,1159100
2022-08-01,52.32,53.93,52.09,53.7,511200
2022-08-02,53.24,53.61,52.51,53.47,424500
2022-08-03,52.83,53.24,52.55,53.24,659800
2022-08-04,53.29,53.38,52.6,53.24,469700
2022-08-05,53.24,53.24,52.74,52.74,449400
2022-08-08,52.78,54.11,52.74,53.56,1235900
2022-08-09,53.93,53.93,53.15,53.56,512500
2022-08-10,53.56,53.56,53.01,53.47,437500
2022-08-11,53.47,53.7,52.37,52.37,726200
2022-08-12,52.37,52.69,51.63,52.05,494800
2022-08-15,52.14,53.01,51.73,52.64,683000
2022-08-16,52.92,52.92,52.55,52.78,274600
2022-08-17,52.78,52.97,52.51,52.74,310500
2022-08-18,52.69,52.69,51.86,52.51,426600
2022-08-19,52.09,52.51,51.77,52.32,546900
2022-08-22,51.91,52.97,51.91,52.69,409400
2022-08-23,52.32,52.6,52.09,52.55,259600
2022-08-24,52.55,54.16,52.42,53.79,1244000
2022-08-25,53.79,54.02,53.29,53.52,421600
2022-08-26,53.7,54.85,53.42,54.07,875700
2022-08-29,53.01,53.47,51.86,53.47,1035900
2022-08-30,53.7,53.7,52.32,52.51,723200
2022-08-31,52.51,52.69,52.05,52.69,630300
2022-09-05,52.69,52.69,52.23,52.46,376000
2022-09-06,52.51,52.69,52.28,52.32,317900
2022-09-07,52.32,52.37,50.95,50.95,1004600
2022-09-08,51.18,51.63,50.72,51.63,547700
2022-09-09,51.82,51.82,51.18,51.31,207000
2022-09-12,51.41,52.28,51.36,51.5,365823
2022-09-13,51.5,52.23,51.5,51.86,388027
2022-09-14,51.36,51.68,51.18,51.27,460801
2022-09-15,51.41,51.73,51.27,51.36,295458
2022-09-16,51.41,53.2,51.36,51.96,2078720
2022-09-19,51.96,52.19,51.41,51.41,510069
2022-09-20,51.41,51.86,51.41,51.86,337756
2022-09-21,52.23,52.46,51.86,52.28,331854
2022-09-22,52.05,52.46,52.05,52.32,258859
2022-09-23,52.55,52.55,52.09,52.28,391751
