date,open,high,low,close,volume
2021-10-13,25.44,25.61,25.09,25.09,5669669
2021-10-14,25.0,25.52,24.91,25.0,7882280
2021-10-15,25.26,25.44,24.65,25.0,9802561
2021-10-18,25.09,26.39,25.09,25.7,16869879
2021-10-19,25.87,25.87,25.35,25.44,4596779
2021-10-20,25.52,25.78,24.48,25.09,7032443
2021-10-21,25.26,25.44,24.56,24.83,8901732
2021-10-22,24.83,25.26,24.56,24.91,7482685
2021-10-25,25.09,25.87,25.09,25.26,7758645
2021-10-26,25.35,25.44,24.83,25.0,5431652
2021-10-27,25.17,26.74,25.09,26.57,17368772
2021-10-28,26.57,26.83,25.96,26.22,10598914
2021-10-29,25.96,26.83,25.78,26.39,8213111
2021-11-01,26.39,26.66,25.44,25.61,11611504
2021-11-02,25.61,26.57,25.44,26.39,12702090
2021-11-03,26.31,26.66,25.44,25.44,9686509
2021-11-04,25.52,25.52,24.83,24.83,11541558
2021-11-05,24.83,25.7,24.39,24.91,9499622
2021-11-08,25.09,25.7,25.0,25.26,7398639
2021-11-09,25.35,25.96,25.0,25.44,11013837
2021-11-10,25.7,27.44,25.7,27.09,20500921
2021-11-11,26.92,27.26,26.13,26.57,11709804
2021-11-12,26.66,26.66,25.78,25.87,10489769
2021-11-15,25.96,25.96,25.0,25.44,18315700
2021-11-16,25.44,25.87,25.26,25.26,7945861
2021-11-17,25.7,26.13,25.26,25.44,8325551
2021-11-18,25.44,25.44,24.22,24.39,15950663
2021-11-19,24.39,24.74,22.3,23.08,18320967
2021-11-22,23.08,23.08,21.78,21.78,10830720
2021-11-23,21.86,22.74,21.78,22.47,6981560
2021-11-24,23.0,23.17,22.65,22.82,5854863
2021-11-25,23.0,23.34,22.65,22.82,5735628
2021-11-26,22.82,22.91,22.04,22.13,8080471
2021-11-29,21.43,21.78,20.47,21.6,8649703
2021-11-30,21.78,23.17,21.78,22.13,9241552
2021-12-01,22.13,22.82,21.86,22.65,4175588
2021-12-02,22.65,22.82,22.3,22.39,4483760
2021-12-03,22.39,22.82,21.78,21.78,4517439
2021-12-06,21.78,22.13,20.91,21.25,4932863
2021-12-07,21.6,22.82,21.52,22.56,6221856
2021-12-08,23.08,23.52,22.65,23.08,10139973
2021-12-09,23.17,23.61,22.91,23.34,7345552
2021-12-10,23.34,23.34,23.0,23.17,4468642
2021-12-13,23.34,23.78,22.91,23.43,6400501
2021-12-14,23.43,23.43,23.0,23.08,4466776
2021-12-15,23.0,23.34,22.74,22.82,5580063
2021-12-16,22.82,23.08,22.56,22.65,5188882
2021-12-17,22.74,23.26,22.65,22.65,4231886
2021-12-20,22.65,22.74,21.86,22.13,5635822
2021-12-21,22.13,22.91,21.95,22.74,5333507
2021-12-22,23.08,23.26,22.47,22.47,3753407
2021-12-23,22.47,23.95,22.21,23.17,9874873
2021-12-24,23.34,23.87,23.08,23.08,4356830
2021-12-27,23.08,23.52,23.0,23.17,3806765
2021-12-28,23.43,23.95,23.34,23.43,7561769
2021-12-29,23.52,23.87,23.26,23.52,3690317
2021-12-30,23.61,24.83,23.61,24.13,10543998
2021-12-31,24.13,24.39,23.69,23.78,5142979
2022-01-04,23.87,25.0,23.78,24.56,11734905
2022-01-05,24.74,25.17,24.56,24.56,9955560
2022-01-06,24.56,25.09,24.39,24.65,7207778
2022-01-07,24.91,25.61,24.74,25.26,10553828
2022-01-10,25.26,25.44,24.04,24.13,9176413
2022-01-11,24.13,24.56,23.69,23.95,4354312
2022-01-12,24.39,25.61,24.3,24.83,11420152
2022-01-13,25.35,25.7,23.95,23.95,9051791
2022-01-14,23.95,24.56,23.78,24.3,4676545
2022-01-17,24.83,25.61,24.13,24.39,10588299
2022-01-18,24.83,25.52,24.39,25.17,11883049
2022-01-19,25.35,25.96,24.83,25.0,6900067
2022-01-20,25.0,25.35,24.65,24.83,5666963
2022-01-21,24.74,26.13,24.39,25.7,14829567
2022-01-24,25.7,26.39,25.26,25.26,10347381
2022-01-25,25.26,25.26,24.22,24.91,7024923
2022-01-26,25.09,25.52,24.74,24.74,5899082
2022-01-27,25.26,25.52,24.91,25.17,5278420
2022-01-28,25.26,25.7,23.26,23.61,15250084
2022-02-07,24.39,25.52,24.39,25.17,6846475
2022-02-08,25.17,25.52,24.91,25.0,4610608
2022-02-09,24.91,25.09,24.48,24.56,7964500
2022-02-10,24.74,25.17,24.65,25.0,5555522
2022-02-11,25.09,25.87,25.09,25.26,12730496
2022-02-14,25.52,26.48,25.52,25.96,14630848
2022-02-15,25.96,26.39,25.44,25.52,6312546
2022-02-16,25.44,25.7,24.91,25.44,9495091
2022-02-17,25.35,25.7,25.17,25.44,5424798
2022-02-18,25.44,25.61,25.09,25.26,6269621
2022-02-21,25.35,25.7,25.26,25.35,6243839
2022-02-22,25.52,26.57,25.44,26.31,17917870
2022-02-23,26.39,28.92,26.31,28.92,27927708
2022-02-24,28.92,31.53,28.92,30.31,23615664
2022-02-25,30.4,30.49,29.36,29.44,14925286
2022-02-28,29.44,31.1,29.27,30.4,14502834
2022-03-01,30.49,30.84,29.7,30.49,11533663
2022-03-02,31.01,33.36,31.01,32.49,14522713
2022-03-03,33.1,33.28,31.97,32.49,12652185
2022-03-04,32.49,32.49,31.36,31.45,15561280
2022-03-07,34.58,34.58,32.32,33.62,13984168
2022-03-08,33.97,34.06,32.67,33.1,13913238
2022-03-09,33.54,35.89,33.1,34.32,19313604
2022-03-10,33.97,34.15,31.88,33.28,14175742
2022-03-11,33.28,33.28,31.45,32.14,20756805
