date,open,high,low,close,volume
2021-10-13,33.51,34.16,33.51,33.79,712700
2021-10-14,34.02,34.02,33.6,33.79,789800
2021-10-15,33.55,33.88,33.42,33.79,374400
2021-10-18,33.79,34.8,33.32,34.25,600700
2021-10-19,34.25,34.94,33.83,34.62,485700
2021-10-20,34.9,34.9,34.02,34.66,355400
2021-10-21,34.66,34.71,34.25,34.66,195800
2021-10-22,34.66,35.31,34.34,35.17,548300
2021-10-25,35.13,35.59,34.94,35.17,315300
2021-10-26,34.85,35.17,34.02,34.8,401500
2021-10-27,34.66,35.31,34.39,35.17,547600
2021-10-28,35.08,35.59,34.94,35.17,424400
2021-10-29,35.22,35.59,34.62,34.62,564000
2021-11-01,34.16,34.57,32.49,33.32,1664800
2021-11-02,33.32,33.79,32.91,33.46,518300
2021-11-03,33.69,33.79,32.86,33.46,596800
2021-11-04,33.14,33.42,32.63,32.77,646900
2021-11-05,32.4,33.09,32.4,32.91,660600
2021-11-08,33.09,33.42,32.91,33.32,639900
2021-11-09,33.32,33.97,33.23,33.32,655700
2021-11-10,33.37,33.37,32.77,32.77,690500
2021-11-11,32.63,33.32,32.44,32.77,766000
2021-11-12,32.77,33.79,32.63,33.79,473900
2021-11-15,33.37,34.25,32.81,33.37,1048800
2021-11-16,33.09,33.32,32.72,33.23,503500
2021-11-17,33.32,33.32,32.77,33.23,389600
2021-11-18,33.18,33.18,32.4,32.4,732800
2021-11-19,32.44,32.67,30.55,31.05,1085200
2021-11-22,31.05,31.05,29.57,29.85,1222800
2021-11-23,29.43,30.87,29.43,30.87,458400
2021-11-24,31.33,31.47,30.92,31.29,405700
2021-11-25,31.1,31.1,30.82,30.96,553200
2021-11-26,31.01,31.33,30.78,31.01,871600
2021-11-29,30.78,32.17,30.59,31.93,390800
2021-11-30,33.18,33.18,31.98,32.63,816000
2021-12-01,33.09,33.09,32.26,32.35,518100
2021-12-02,32.3,32.35,31.89,31.93,433300
2021-12-03,32.26,32.26,31.24,31.24,392300
2021-12-06,30.92,31.66,30.08,30.13,865800
2021-12-07,30.36,31.24,30.31,31.24,606700
2021-12-08,31.47,31.47,30.87,31.1,377600
2021-12-09,31.05,31.24,30.92,31.24,411800
2021-12-10,31.24,31.89,31.24,31.52,322700
2021-12-13,31.7,32.3,31.61,32.12,337200
2021-12-14,32.17,32.54,31.7,31.8,592400
2021-12-15,31.7,31.89,30.55,30.55,533600
2021-12-16,31.24,31.33,30.96,31.1,476000
2021-12-17,31.01,31.43,31.01,31.29,442000
2021-12-20,31.24,31.38,30.92,31.05,671800
2021-12-21,30.92,31.93,30.78,31.93,1112300
2021-12-22,32.4,32.58,31.89,31.93,1562000
2021-12-23,31.93,32.4,31.29,32.4,2292600
2021-12-24,32.58,33.97,32.3,33.23,1905800
2021-12-27,33.79,33.79,32.77,33.28,605400
2021-12-28,33.09,33.97,32.95,33.28,799500
