date,open,high,low,close,volume
2021-10-13,21.12,21.3,20.95,21.27,5638900
2021-10-14,21.07,21.33,21.07,21.33,8081300
2021-10-15,21.33,21.7,21.27,21.64,11593400
2021-10-18,21.7,22.51,21.64,22.16,15081500
2021-10-19,22.25,22.31,22.02,22.22,10105300
2021-10-20,22.19,22.39,21.79,22.1,8407100
2021-10-21,22.1,22.22,21.67,21.67,8996800
2021-10-22,21.79,21.87,21.47,21.47,6945900
2021-10-25,21.41,21.41,21.18,21.35,8556600
2021-10-26,21.15,21.38,20.89,21.38,5707200
2021-10-27,21.64,22.02,21.38,21.9,6771900
2021-10-28,22.19,22.28,21.9,22.28,10666700
2021-10-29,22.34,22.51,21.87,21.96,7850700
2021-11-01,21.93,22.13,21.64,21.67,6479400
2021-11-02,21.58,21.76,21.56,21.67,5691000
2021-11-03,21.64,22.51,21.64,22.16,17622200
2021-11-04,22.25,22.25,21.87,21.93,4579500
2021-11-05,21.93,22.19,21.84,21.9,4384700
2021-11-08,22.05,22.05,21.64,21.67,8065600
2021-11-09,21.7,21.76,21.38,21.38,10137900
2021-11-10,21.41,21.47,21.12,21.18,6277200
2021-11-11,21.18,21.38,20.52,21.07,9202600
2021-11-12,21.07,21.35,20.75,21.21,6948500
2021-11-15,21.12,21.15,20.81,20.86,10094400
2021-11-16,20.86,21.35,20.72,20.86,9094400
2021-11-17,20.92,21.07,20.69,20.86,11946000
2021-11-18,20.78,20.89,20.43,20.43,12144300
2021-11-19,20.49,21.24,20.11,20.89,19584000
2021-11-22,20.89,21.73,20.72,21.18,17052800
2021-11-23,21.3,21.41,20.83,20.92,7528100
2021-11-24,20.92,21.7,20.72,21.53,35983800
2021-11-25,21.84,22.22,21.58,21.93,32485400
2021-11-26,22.16,22.8,22.05,22.62,44749100
2021-11-29,22.28,22.45,21.93,22.16,25498200
2021-11-30,22.39,22.45,21.53,21.76,20488900
2021-12-01,21.64,21.87,21.33,21.87,19113100
2021-12-02,21.87,21.9,21.35,21.35,10419400
2021-12-03,21.53,21.67,20.37,20.6,23234900
2021-12-06,20.63,20.81,19.62,20.49,21344000
2021-12-07,20.6,20.81,20.11,20.57,15361100
2021-12-08,20.6,21.01,20.2,20.63,16491700
2021-12-09,20.43,20.75,20.43,20.55,12963000
2021-12-10,20.63,20.89,20.52,20.66,15276400
2021-12-13,20.78,20.83,20.37,20.43,11569800
2021-12-14,20.43,20.66,20.2,20.2,16088600
2021-12-15,20.2,20.26,19.88,20.0,24972100
2021-12-16,20.2,20.2,19.33,19.45,37476500
2021-12-17,19.56,19.85,19.45,19.51,27609900
2021-12-20,19.8,20.17,19.51,19.71,22590800
2021-12-21,19.62,19.91,19.62,19.71,11683300
2021-12-22,19.74,19.85,19.39,19.39,20011000
2021-12-23,19.39,19.56,18.64,18.7,18152200
2021-12-24,18.87,19.82,18.76,19.77,13097600
2021-12-27,19.94,20.03,19.62,19.82,7135700
2021-12-28,19.91,19.94,19.68,19.94,9869300
2021-12-29,20.03,20.32,20.0,20.06,8833300
2021-12-30,20.14,20.52,20.11,20.43,9529200
2021-12-31,20.49,20.89,20.46,20.66,11228400
2022-01-04,20.86,20.98,20.78,20.81,14307900
2022-01-05,20.81,20.86,20.49,20.49,13262600
2022-01-06,20.37,20.49,20.14,20.29,14344800
2022-01-07,20.26,20.29,19.97,19.97,11996200
2022-01-10,19.91,20.26,19.71,19.85,11049800
2022-01-11,19.85,20.08,19.62,19.8,9312300
2022-01-12,19.74,20.46,19.54,20.43,12092100
2022-01-13,20.6,20.92,20.17,20.34,15856600
2022-01-14,20.34,20.43,20.03,20.11,6912100
2022-01-17,20.11,20.26,19.07,19.07,12758900
2022-01-18,19.07,19.56,19.05,19.19,6343100
2022-01-19,19.22,19.59,19.22,19.33,6515600
2022-01-20,19.39,19.59,19.16,19.59,7756800
2022-01-21,19.62,20.06,19.36,19.8,9127100
2022-01-24,19.65,19.82,19.05,19.31,11998200
2022-01-25,19.28,20.14,19.1,20.14,11700500
2022-01-26,20.14,20.98,20.08,20.72,18805000
2022-01-27,20.72,21.15,20.43,20.46,16417500
2022-01-28,20.57,21.18,20.49,21.15,24088600
2022-02-07,21.35,21.47,20.95,20.95,11233200
2022-02-08,20.86,21.87,20.83,21.53,22298900
2022-02-09,21.64,21.93,21.41,21.41,18041900
2022-02-10,21.38,21.5,20.86,21.18,15375100
2022-02-11,21.24,21.47,21.07,21.12,11792400
2022-02-14,20.89,21.04,20.2,20.2,19972100
2022-02-15,20.32,20.89,20.32,20.75,12555400
2022-02-16,20.83,21.01,20.57,20.57,6911100
2022-02-17,20.57,20.95,20.52,20.95,10943800
2022-02-18,20.72,20.78,20.6,20.72,9693800
2022-02-21,20.66,20.86,20.43,20.72,10170500
2022-02-22,20.49,20.72,20.32,20.52,10692300
2022-02-23,20.6,20.86,20.49,20.72,13643600
2022-02-24,20.69,21.47,20.55,21.3,35730400
2022-02-25,21.53,22.39,21.35,22.05,49379700
2022-02-28,22.05,22.34,21.64,21.93,21335600
